catalog_label,control_label,relation_label,technique,technique_label,definition
CCI Catalog v2022-04-05,CCI-001115,narrower,http://d3fend.mitre.org/ontologies/d3fend.owl#InboundTrafficFiltering,Inbound Traffic Filtering,"The information system, at managed interfaces, denies network traffic and audits internal users (or malicious code) posing a threat to external information systems."
CCI Catalog v2022-04-05,CCI-001115,narrower,http://d3fend.mitre.org/ontologies/d3fend.owl#OutboundTrafficFiltering,Outbound Traffic Filtering,"The information system, at managed interfaces, denies network traffic and audits internal users (or malicious code) posing a threat to external information systems."
CCI Catalog v2022-04-05,CCI-001117,narrower,http://d3fend.mitre.org/ontologies/d3fend.owl#InboundTrafficFiltering,Inbound Traffic Filtering,The information system checks incoming communications to ensure the communications are coming from an authorized source and routed to an authorized destination.
CCI Catalog v2022-04-05,CCI-001117,narrower,http://d3fend.mitre.org/ontologies/d3fend.owl#OutboundTrafficFiltering,Outbound Traffic Filtering,The information system checks incoming communications to ensure the communications are coming from an authorized source and routed to an authorized destination.
CCI Catalog v2022-04-05,CCI-001118,broader,http://d3fend.mitre.org/ontologies/d3fend.owl#NetworkIsolation,Network Isolation,"The information system implements host-based boundary protection mechanisms for servers, workstations, and mobile devices."
CCI Catalog v2022-04-05,CCI-001124,broader,http://d3fend.mitre.org/ontologies/d3fend.owl#BroadcastDomainIsolation,Broadcast Domain Isolation,The information system prevents discovery of specific system components composing a managed interface.
CCI Catalog v2022-04-05,CCI-001125,narrower,http://d3fend.mitre.org/ontologies/d3fend.owl#InboundTrafficFiltering,Inbound Traffic Filtering,The information system enforces adherence to protocol format.
CCI Catalog v2022-04-05,CCI-001125,narrower,http://d3fend.mitre.org/ontologies/d3fend.owl#OutboundTrafficFiltering,Outbound Traffic Filtering,The information system enforces adherence to protocol format.
CCI Catalog v2022-04-05,CCI-001127,broader,http://d3fend.mitre.org/ontologies/d3fend.owl#EncryptedTunnels,Encrypted Tunnels,The information system protects the integrity of transmitted information.
CCI Catalog v2022-04-05,CCI-001128,broader,http://d3fend.mitre.org/ontologies/d3fend.owl#EncryptedTunnels,Encrypted Tunnels,The organization employs cryptographic mechanisms to recognize changes to information during transmission unless otherwise protected by alternative physical measures.
CCI Catalog v2022-04-05,CCI-001133,narrower,http://d3fend.mitre.org/ontologies/d3fend.owl#SessionDurationAnalysis,Session Duration Analysis,The information system terminates the network connection associated with a communications session at the end of the session or after an organization-defined time period of inactivity.
CCI Catalog v2022-04-05,CCI-001144,narrower,http://d3fend.mitre.org/ontologies/d3fend.owl#DiskEncryption,Disk Encryption,"The information system implements required cryptographic protections using cryptographic modules that comply with applicable federal laws, Executive Orders, directives, policies, regulations, standards, and guidance."
CCI Catalog v2022-04-05,CCI-001144,narrower,http://d3fend.mitre.org/ontologies/d3fend.owl#FileEncryption,File Encryption,"The information system implements required cryptographic protections using cryptographic modules that comply with applicable federal laws, Executive Orders, directives, policies, regulations, standards, and guidance."
CCI Catalog v2022-04-05,CCI-001145,narrower,http://d3fend.mitre.org/ontologies/d3fend.owl#DiskEncryption,Disk Encryption,"The organization employs, at a minimum, FIPS-validated cryptography to protect unclassified information."
CCI Catalog v2022-04-05,CCI-001145,narrower,http://d3fend.mitre.org/ontologies/d3fend.owl#FileEncryption,File Encryption,"The organization employs, at a minimum, FIPS-validated cryptography to protect unclassified information."
CCI Catalog v2022-04-05,CCI-001146,narrower,http://d3fend.mitre.org/ontologies/d3fend.owl#DiskEncryption,Disk Encryption,The organization employs NSA-approved cryptography to protect classified information.
CCI Catalog v2022-04-05,CCI-001146,narrower,http://d3fend.mitre.org/ontologies/d3fend.owl#FileEncryption,File Encryption,The organization employs NSA-approved cryptography to protect classified information.
CCI Catalog v2022-04-05,CCI-001147,narrower,http://d3fend.mitre.org/ontologies/d3fend.owl#DiskEncryption,Disk Encryption,"The organization employs, at a minimum, FIPS-validated cryptography to protect information when such information must be separated from individuals who have the necessary clearances yet lack the necessary access approvals."
CCI Catalog v2022-04-05,CCI-001147,narrower,http://d3fend.mitre.org/ontologies/d3fend.owl#FileEncryption,File Encryption,"The organization employs, at a minimum, FIPS-validated cryptography to protect information when such information must be separated from individuals who have the necessary clearances yet lack the necessary access approvals."
CCI Catalog v2022-04-05,CCI-001150,narrower,http://d3fend.mitre.org/ontologies/d3fend.owl#RemoteTerminalSessionDetection,Remote Terminal Session Detection,"The information system prohibits remote activation of collaborative computing devices, excluding the organization-defined exceptions where remote activation is to be allowed."
CCI Catalog v2022-04-05,CCI-001166,broader,http://d3fend.mitre.org/ontologies/d3fend.owl#DynamicAnalysis,Dynamic Analysis,The information system identifies organization-defined unacceptable mobile code.
CCI Catalog v2022-04-05,CCI-001166,broader,http://d3fend.mitre.org/ontologies/d3fend.owl#EmulatedFileAnalysis,Emulated File Analysis,The information system identifies organization-defined unacceptable mobile code.
CCI Catalog v2022-04-05,CCI-001166,broader,http://d3fend.mitre.org/ontologies/d3fend.owl#FileContentRules,File Content Rules,The information system identifies organization-defined unacceptable mobile code.
CCI Catalog v2022-04-05,CCI-001169,narrower,http://d3fend.mitre.org/ontologies/d3fend.owl#ExecutableDenylisting,Executable Denylisting,The information system prevents the download of organization-defined unacceptable mobile code.
CCI Catalog v2022-04-05,CCI-001170,narrower,http://d3fend.mitre.org/ontologies/d3fend.owl#ExecutableDenylisting,Executable Denylisting,The information system prevents the automatic execution of mobile code in organization-defined software applications.
CCI Catalog v2022-04-05,CCI-001178,narrower,http://d3fend.mitre.org/ontologies/d3fend.owl#DomainTrustPolicy,Domain Trust Policy,The information system provides additional data origin authentication artifacts along with the authoritative name resolution data the system returns in response to external name/address resolution queries.
CCI Catalog v2022-04-05,CCI-001185,narrower,http://d3fend.mitre.org/ontologies/d3fend.owl#AuthenticationCacheInvalidation,Authentication Cache Invalidation,The information system invalidates session identifiers upon user logout or other session termination.
CCI Catalog v2022-04-05,CCI-001199,broader,http://d3fend.mitre.org/ontologies/d3fend.owl#DiskEncryption,Disk Encryption,The information system protects the confidentiality and/or integrity of organization-defined information at rest.
CCI Catalog v2022-04-05,CCI-001199,broader,http://d3fend.mitre.org/ontologies/d3fend.owl#FileContentRules,File Content Rules,The information system protects the confidentiality and/or integrity of organization-defined information at rest.
CCI Catalog v2022-04-05,CCI-001199,broader,http://d3fend.mitre.org/ontologies/d3fend.owl#FileEncryption,File Encryption,The information system protects the confidentiality and/or integrity of organization-defined information at rest.
CCI Catalog v2022-04-05,CCI-001199,broader,http://d3fend.mitre.org/ontologies/d3fend.owl#FileHashing,File Hashing,The information system protects the confidentiality and/or integrity of organization-defined information at rest.
CCI Catalog v2022-04-05,CCI-001199,broader,http://d3fend.mitre.org/ontologies/d3fend.owl#LocalFilePermissions,Local File Permissions,The information system protects the confidentiality and/or integrity of organization-defined information at rest.
CCI Catalog v2022-04-05,CCI-001200,narrower,http://d3fend.mitre.org/ontologies/d3fend.owl#DiskEncryption,Disk Encryption,The organization employs cryptographic mechanisms to prevent unauthorized disclosure of information at rest unless otherwise protected by alternative physical measures.
CCI Catalog v2022-04-05,CCI-001200,narrower,http://d3fend.mitre.org/ontologies/d3fend.owl#FileEncryption,File Encryption,The organization employs cryptographic mechanisms to prevent unauthorized disclosure of information at rest unless otherwise protected by alternative physical measures.
CCI Catalog v2022-04-05,CCI-001210,narrower,http://d3fend.mitre.org/ontologies/d3fend.owl#DriverLoadIntegrityChecking,Driver Load Integrity Checking,"The information system, at organization-defined information system components, loads and executes the operating environment from hardware-enforced, read-only media."
CCI Catalog v2022-04-05,CCI-001211,narrower,http://d3fend.mitre.org/ontologies/d3fend.owl#ApplicationConfigurationHardening,Application Configuration Hardening,"The information system, at organization-defined information system components, loads and executes organization-defined applications from hardware-enforced, read-only media."
CCI Catalog v2022-04-05,CCI-001233,narrower,http://d3fend.mitre.org/ontologies/d3fend.owl#SoftwareUpdate,Software Update,The organization employs automated mechanisms on an organization-defined frequency to determine the state of information system components with regard to flaw remediation.
CCI Catalog v2022-04-05,CCI-001237,narrower,http://d3fend.mitre.org/ontologies/d3fend.owl#SoftwareUpdate,Software Update,The organization employs automated patch management tools to facilitate flaw remediation to organization-defined information system components.
CCI Catalog v2022-04-05,CCI-001239,broader,http://d3fend.mitre.org/ontologies/d3fend.owl#FileAnalysis,File Analysis,"The organization employs malicious code protection mechanisms at information system entry and exit points to detect and eradicate malicious code transported by electronic mail, electronic mail attachments, web accesses, removable media, or other common means or inserted through the exploitation of information system vulnerabilities."
CCI Catalog v2022-04-05,CCI-001239,broader,http://d3fend.mitre.org/ontologies/d3fend.owl#NetworkTrafficAnalysis,Network Traffic Analysis,"The organization employs malicious code protection mechanisms at information system entry and exit points to detect and eradicate malicious code transported by electronic mail, electronic mail attachments, web accesses, removable media, or other common means or inserted through the exploitation of information system vulnerabilities."
CCI Catalog v2022-04-05,CCI-001239,broader,http://d3fend.mitre.org/ontologies/d3fend.owl#PlatformMonitoring,Platform Monitoring,"The organization employs malicious code protection mechanisms at information system entry and exit points to detect and eradicate malicious code transported by electronic mail, electronic mail attachments, web accesses, removable media, or other common means or inserted through the exploitation of information system vulnerabilities."
CCI Catalog v2022-04-05,CCI-001239,broader,http://d3fend.mitre.org/ontologies/d3fend.owl#ProcessAnalysis,Process Analysis,"The organization employs malicious code protection mechanisms at information system entry and exit points to detect and eradicate malicious code transported by electronic mail, electronic mail attachments, web accesses, removable media, or other common means or inserted through the exploitation of information system vulnerabilities."
CCI Catalog v2022-04-05,CCI-001242,broader,http://d3fend.mitre.org/ontologies/d3fend.owl#DynamicAnalysis,Dynamic Analysis,"The organization configures malicious code protection mechanisms to perform real-time scans of files from external sources at endpoints as the files are downloaded, opened, or executed in accordance with organizational security policy."
CCI Catalog v2022-04-05,CCI-001242,broader,http://d3fend.mitre.org/ontologies/d3fend.owl#EmulatedFileAnalysis,Emulated File Analysis,"The organization configures malicious code protection mechanisms to perform real-time scans of files from external sources at endpoints as the files are downloaded, opened, or executed in accordance with organizational security policy."
CCI Catalog v2022-04-05,CCI-001242,broader,http://d3fend.mitre.org/ontologies/d3fend.owl#FileContentRules,File Content Rules,"The organization configures malicious code protection mechanisms to perform real-time scans of files from external sources at endpoints as the files are downloaded, opened, or executed in accordance with organizational security policy."
CCI Catalog v2022-04-05,CCI-001262,narrower,http://d3fend.mitre.org/ontologies/d3fend.owl#InboundTrafficFiltering,Inbound Traffic Filtering,The information system monitors inbound and outbound communications for unusual or unauthorized activities or conditions.
CCI Catalog v2022-04-05,CCI-001262,narrower,http://d3fend.mitre.org/ontologies/d3fend.owl#OutboundTrafficFiltering,Outbound Traffic Filtering,The information system monitors inbound and outbound communications for unusual or unauthorized activities or conditions.
CCI Catalog v2022-04-05,CCI-001297,broader,http://d3fend.mitre.org/ontologies/d3fend.owl#DriverLoadIntegrityChecking,Driver Load Integrity Checking,The information system detects unauthorized changes to software and information.
CCI Catalog v2022-04-05,CCI-001297,broader,http://d3fend.mitre.org/ontologies/d3fend.owl#FileHashing,File Hashing,The information system detects unauthorized changes to software and information.
CCI Catalog v2022-04-05,CCI-001297,broader,http://d3fend.mitre.org/ontologies/d3fend.owl#PointerAuthentication,Pointer Authentication,The information system detects unauthorized changes to software and information.
CCI Catalog v2022-04-05,CCI-001297,broader,http://d3fend.mitre.org/ontologies/d3fend.owl#TPMBootIntegrity,TPM Boot Integrity,The information system detects unauthorized changes to software and information.
CCI Catalog v2022-04-05,CCI-001305,broader,http://d3fend.mitre.org/ontologies/d3fend.owl#MessageAuthentication,Message Authentication,"The organization employs spam protection mechanisms at information system entry and exit points to detect and take action on unsolicited messages transported by electronic mail, electronic mail attachments, web accesses, removable media, or other common means."
CCI Catalog v2022-04-05,CCI-001305,broader,http://d3fend.mitre.org/ontologies/d3fend.owl#SenderMTAReputationAnalysis,Sender MTA Reputation Analysis,"The organization employs spam protection mechanisms at information system entry and exit points to detect and take action on unsolicited messages transported by electronic mail, electronic mail attachments, web accesses, removable media, or other common means."
CCI Catalog v2022-04-05,CCI-001305,broader,http://d3fend.mitre.org/ontologies/d3fend.owl#SenderReputationAnalysis,Sender Reputation Analysis,"The organization employs spam protection mechanisms at information system entry and exit points to detect and take action on unsolicited messages transported by electronic mail, electronic mail attachments, web accesses, removable media, or other common means."
CCI Catalog v2022-04-05,CCI-001305,broader,http://d3fend.mitre.org/ontologies/d3fend.owl#TransferAgentAuthentication,Transfer Agent Authentication,"The organization employs spam protection mechanisms at information system entry and exit points to detect and take action on unsolicited messages transported by electronic mail, electronic mail attachments, web accesses, removable media, or other common means."
CCI Catalog v2022-04-05,CCI-001310,broader,http://d3fend.mitre.org/ontologies/d3fend.owl#DatabaseQueryStringAnalysis,Database Query String Analysis,The information system checks the validity of organization-defined inputs.
CCI Catalog v2022-04-05,CCI-001350,narrower,http://d3fend.mitre.org/ontologies/d3fend.owl#FileEncryption,File Encryption,The information system implements cryptographic mechanisms to protect the integrity of audit information.
CCI Catalog v2022-04-05,CCI-001352,narrower,http://d3fend.mitre.org/ontologies/d3fend.owl#MandatoryAccessControl,Mandatory Access Control,The organization protects the audit records of non-local accesses to privileged accounts and the execution of privileged functions.
CCI Catalog v2022-04-05,CCI-001356,exactly,http://d3fend.mitre.org/ontologies/d3fend.owl#AuthenticationEventThresholding,Authentication Event Thresholding,The organization monitors for atypical usage of information system accounts.
CCI Catalog v2022-04-05,CCI-001356,exactly,http://d3fend.mitre.org/ontologies/d3fend.owl#AuthorizationEventThresholding,Authorization Event Thresholding,The organization monitors for atypical usage of information system accounts.
CCI Catalog v2022-04-05,CCI-001368,narrower,http://d3fend.mitre.org/ontologies/d3fend.owl#InboundTrafficFiltering,Inbound Traffic Filtering,The information system enforces approved authorizations for controlling the flow of information within the system based on organization-defined information flow control policies.
CCI Catalog v2022-04-05,CCI-001368,narrower,http://d3fend.mitre.org/ontologies/d3fend.owl#OutboundTrafficFiltering,Outbound Traffic Filtering,The information system enforces approved authorizations for controlling the flow of information within the system based on organization-defined information flow control policies.
CCI Catalog v2022-04-05,CCI-001372,narrower,http://d3fend.mitre.org/ontologies/d3fend.owl#InboundTrafficFiltering,Inbound Traffic Filtering,"The information system, when transferring information between different security domains, implements organization-defined security policy filters requiring fully enumerated formats that restrict data structure and content."
CCI Catalog v2022-04-05,CCI-001372,narrower,http://d3fend.mitre.org/ontologies/d3fend.owl#OutboundTrafficFiltering,Outbound Traffic Filtering,"The information system, when transferring information between different security domains, implements organization-defined security policy filters requiring fully enumerated formats that restrict data structure and content."
CCI Catalog v2022-04-05,CCI-001373,narrower,http://d3fend.mitre.org/ontologies/d3fend.owl#InboundTrafficFiltering,Inbound Traffic Filtering,"The information system, when transferring information between different security domains, examines the information for the presence of organization-defined unsanctioned information."
CCI Catalog v2022-04-05,CCI-001373,narrower,http://d3fend.mitre.org/ontologies/d3fend.owl#OutboundTrafficFiltering,Outbound Traffic Filtering,"The information system, when transferring information between different security domains, examines the information for the presence of organization-defined unsanctioned information."
CCI Catalog v2022-04-05,CCI-001374,narrower,http://d3fend.mitre.org/ontologies/d3fend.owl#InboundTrafficFiltering,Inbound Traffic Filtering,"The information system, when transferring information between different security domains, prohibits the transfer of organization-defined unsanctioned information in accordance with the organization-defined security policy."
CCI Catalog v2022-04-05,CCI-001374,narrower,http://d3fend.mitre.org/ontologies/d3fend.owl#OutboundTrafficFiltering,Outbound Traffic Filtering,"The information system, when transferring information between different security domains, prohibits the transfer of organization-defined unsanctioned information in accordance with the organization-defined security policy."
CCI Catalog v2022-04-05,CCI-001376,narrower,http://d3fend.mitre.org/ontologies/d3fend.owl#DomainTrustPolicy,Domain Trust Policy,The information system uniquely identifies source domains for information transfer.
CCI Catalog v2022-04-05,CCI-001377,narrower,http://d3fend.mitre.org/ontologies/d3fend.owl#DomainTrustPolicy,Domain Trust Policy,The information system uniquely authenticates source domains for information transfer.
CCI Catalog v2022-04-05,CCI-001399,broader,http://d3fend.mitre.org/ontologies/d3fend.owl#MandatoryAccessControl,Mandatory Access Control,The information system supports and maintains the binding of organization-defined security attributes to information in storage.
CCI Catalog v2022-04-05,CCI-001399,broader,http://d3fend.mitre.org/ontologies/d3fend.owl#UserAccountPermissions,User Account Permissions,The information system supports and maintains the binding of organization-defined security attributes to information in storage.
CCI Catalog v2022-04-05,CCI-001400,broader,http://d3fend.mitre.org/ontologies/d3fend.owl#MandatoryAccessControl,Mandatory Access Control,The information system supports and maintains the binding of organization-defined security attributes to information in process.
CCI Catalog v2022-04-05,CCI-001400,broader,http://d3fend.mitre.org/ontologies/d3fend.owl#UserAccountPermissions,User Account Permissions,The information system supports and maintains the binding of organization-defined security attributes to information in process.
CCI Catalog v2022-04-05,CCI-001401,broader,http://d3fend.mitre.org/ontologies/d3fend.owl#MandatoryAccessControl,Mandatory Access Control,The information system supports and maintains the binding of organization-defined security attributes to information in transmission.
CCI Catalog v2022-04-05,CCI-001401,broader,http://d3fend.mitre.org/ontologies/d3fend.owl#UserAccountPermissions,User Account Permissions,The information system supports and maintains the binding of organization-defined security attributes to information in transmission.
CCI Catalog v2022-04-05,CCI-001403,exactly,http://d3fend.mitre.org/ontologies/d3fend.owl#DomainAccountMonitoring,Domain Account Monitoring,The information system automatically audits account modification actions.
CCI Catalog v2022-04-05,CCI-001404,exactly,http://d3fend.mitre.org/ontologies/d3fend.owl#DomainAccountMonitoring,Domain Account Monitoring,The information system automatically audits account disabling actions.
CCI Catalog v2022-04-05,CCI-001405,exactly,http://d3fend.mitre.org/ontologies/d3fend.owl#DomainAccountMonitoring,Domain Account Monitoring,The information system automatically audits account removal actions.
CCI Catalog v2022-04-05,CCI-001414,narrower,http://d3fend.mitre.org/ontologies/d3fend.owl#InboundTrafficFiltering,Inbound Traffic Filtering,The information system enforces approved authorizations for controlling the flow of information between interconnected systems based on organization-defined information flow control policies.
CCI Catalog v2022-04-05,CCI-001414,narrower,http://d3fend.mitre.org/ontologies/d3fend.owl#OutboundTrafficFiltering,Outbound Traffic Filtering,The information system enforces approved authorizations for controlling the flow of information between interconnected systems based on organization-defined information flow control policies.
CCI Catalog v2022-04-05,CCI-001424,broader,http://d3fend.mitre.org/ontologies/d3fend.owl#MandatoryAccessControl,Mandatory Access Control,The information system dynamically associates security attributes with organization-defined subjects in accordance with organization-defined security policies as information is created and combined.
CCI Catalog v2022-04-05,CCI-001424,broader,http://d3fend.mitre.org/ontologies/d3fend.owl#UserAccountPermissions,User Account Permissions,The information system dynamically associates security attributes with organization-defined subjects in accordance with organization-defined security policies as information is created and combined.
CCI Catalog v2022-04-05,CCI-001425,broader,http://d3fend.mitre.org/ontologies/d3fend.owl#MandatoryAccessControl,Mandatory Access Control,The information system provides authorized individuals (or processes acting on behalf of individuals) the capability to change the value of associated security attributes.
CCI Catalog v2022-04-05,CCI-001425,broader,http://d3fend.mitre.org/ontologies/d3fend.owl#UserAccountPermissions,User Account Permissions,The information system provides authorized individuals (or processes acting on behalf of individuals) the capability to change the value of associated security attributes.
CCI Catalog v2022-04-05,CCI-001426,broader,http://d3fend.mitre.org/ontologies/d3fend.owl#MandatoryAccessControl,Mandatory Access Control,The information system maintains the binding of security attributes to information with sufficient assurance that the information--attribute association can be used as the basis for automated policy actions.
CCI Catalog v2022-04-05,CCI-001426,broader,http://d3fend.mitre.org/ontologies/d3fend.owl#UserAccountPermissions,User Account Permissions,The information system maintains the binding of security attributes to information with sufficient assurance that the information--attribute association can be used as the basis for automated policy actions.
CCI Catalog v2022-04-05,CCI-001427,broader,http://d3fend.mitre.org/ontologies/d3fend.owl#MandatoryAccessControl,Mandatory Access Control,The information system allows authorized users to associate security attributes with information.
CCI Catalog v2022-04-05,CCI-001427,broader,http://d3fend.mitre.org/ontologies/d3fend.owl#UserAccountPermissions,User Account Permissions,The information system allows authorized users to associate security attributes with information.
CCI Catalog v2022-04-05,CCI-001428,broader,http://d3fend.mitre.org/ontologies/d3fend.owl#MandatoryAccessControl,Mandatory Access Control,"The information system displays security attributes in human-readable form on each object that the system transmits to output devices to identify organization-identified special dissemination, handling, or distribution instructions using organization-identified human-readable, standard naming conventions."
CCI Catalog v2022-04-05,CCI-001428,broader,http://d3fend.mitre.org/ontologies/d3fend.owl#UserAccountPermissions,User Account Permissions,"The information system displays security attributes in human-readable form on each object that the system transmits to output devices to identify organization-identified special dissemination, handling, or distribution instructions using organization-identified human-readable, standard naming conventions."
CCI Catalog v2022-04-05,CCI-001436,narrower,http://d3fend.mitre.org/ontologies/d3fend.owl#InboundTrafficFiltering,Inbound Traffic Filtering,The organization disables organization-defined networking protocols within the information system deemed to be nonsecure except for explicitly identified components in support of specific operational requirements.
CCI Catalog v2022-04-05,CCI-001436,narrower,http://d3fend.mitre.org/ontologies/d3fend.owl#OutboundTrafficFiltering,Outbound Traffic Filtering,The organization disables organization-defined networking protocols within the information system deemed to be nonsecure except for explicitly identified components in support of specific operational requirements.
CCI Catalog v2022-04-05,CCI-001452,narrower,http://d3fend.mitre.org/ontologies/d3fend.owl#AccountLocking,Account Locking,The information system enforces the organization-defined time period during which the limit of consecutive invalid access attempts by a user is counted.
CCI Catalog v2022-04-05,CCI-001453,exactly,http://d3fend.mitre.org/ontologies/d3fend.owl#EncryptedTunnels,Encrypted Tunnels,The information system implements cryptographic mechanisms to protect the integrity of remote access sessions.
CCI Catalog v2022-04-05,CCI-001454,narrower,http://d3fend.mitre.org/ontologies/d3fend.owl#RemoteTerminalSessionDetection,Remote Terminal Session Detection,The organization ensures that remote sessions for accessing an organization-defined list of security functions and security-relevant information are audited.
CCI Catalog v2022-04-05,CCI-001493,narrower,http://d3fend.mitre.org/ontologies/d3fend.owl#MandatoryAccessControl,Mandatory Access Control,The information system protects audit tools from unauthorized access.
CCI Catalog v2022-04-05,CCI-001494,narrower,http://d3fend.mitre.org/ontologies/d3fend.owl#PlatformHardening,Platform Hardening,The information system protects audit tools from unauthorized modification.
CCI Catalog v2022-04-05,CCI-001494,narrower,http://d3fend.mitre.org/ontologies/d3fend.owl#SystemConfigurationPermissions,System Configuration Permissions,The information system protects audit tools from unauthorized modification.
CCI Catalog v2022-04-05,CCI-001495,narrower,http://d3fend.mitre.org/ontologies/d3fend.owl#PlatformHardening,Platform Hardening,The information system protects audit tools from unauthorized deletion.
CCI Catalog v2022-04-05,CCI-001496,narrower,http://d3fend.mitre.org/ontologies/d3fend.owl#FileEncryption,File Encryption,The information system implements cryptographic mechanisms to protect the integrity of audit tools.
CCI Catalog v2022-04-05,CCI-001499,narrower,http://d3fend.mitre.org/ontologies/d3fend.owl#SystemConfigurationPermissions,System Configuration Permissions,The organization limits privileges to change software resident within software libraries.
CCI Catalog v2022-04-05,CCI-001499,narrower,http://d3fend.mitre.org/ontologies/d3fend.owl#UserAccountPermissions,User Account Permissions,The organization limits privileges to change software resident within software libraries.
CCI Catalog v2022-04-05,CCI-001555,narrower,http://d3fend.mitre.org/ontologies/d3fend.owl#DomainTrustPolicy,Domain Trust Policy,The information system uniquely identifies destination domains for information transfer.
CCI Catalog v2022-04-05,CCI-001556,narrower,http://d3fend.mitre.org/ontologies/d3fend.owl#DomainTrustPolicy,Domain Trust Policy,The information system uniquely authenticates destination domains for information transfer.
CCI Catalog v2022-04-05,CCI-001557,broader,http://d3fend.mitre.org/ontologies/d3fend.owl#NetworkTrafficAnalysis,Network Traffic Analysis,The information system tracks problems associated with the information transfer.
CCI Catalog v2022-04-05,CCI-001574,narrower,http://d3fend.mitre.org/ontologies/d3fend.owl#InboundTrafficFiltering,Inbound Traffic Filtering,"The information system rejects or delays, as defined by the organization, network traffic which exceed the organization-defined thresholds."
CCI Catalog v2022-04-05,CCI-001574,narrower,http://d3fend.mitre.org/ontologies/d3fend.owl#OutboundTrafficFiltering,Outbound Traffic Filtering,"The information system rejects or delays, as defined by the organization, network traffic which exceed the organization-defined thresholds."
CCI Catalog v2022-04-05,CCI-001589,narrower,http://d3fend.mitre.org/ontologies/d3fend.owl#OperatingSystemMonitoring,Operating System Monitoring,"The organization incorporates detection of unauthorized, security-relevant configuration changes into the organization’s incident response capability to ensure they are tracked."
CCI Catalog v2022-04-05,CCI-001619,narrower,http://d3fend.mitre.org/ontologies/d3fend.owl#StrongPasswordPolicy,Strong Password Policy,The information system enforces password complexity by the minimum number of special characters used.
CCI Catalog v2022-04-05,CCI-001632,exactly,http://d3fend.mitre.org/ontologies/d3fend.owl#EncryptedTunnels,Encrypted Tunnels,The organization protects nonlocal maintenance sessions by separating the maintenance session from other network sessions with the information system by either physically separated communications paths or logically separated communications paths based upon encryption.
CCI Catalog v2022-04-05,CCI-001662,narrower,http://d3fend.mitre.org/ontologies/d3fend.owl#DynamicAnalysis,Dynamic Analysis,The information system takes organization-defined corrective action when organization-defined unacceptable mobile code is identified.
CCI Catalog v2022-04-05,CCI-001662,narrower,http://d3fend.mitre.org/ontologies/d3fend.owl#EmulatedFileAnalysis,Emulated File Analysis,The information system takes organization-defined corrective action when organization-defined unacceptable mobile code is identified.
CCI Catalog v2022-04-05,CCI-001662,narrower,http://d3fend.mitre.org/ontologies/d3fend.owl#FileContentRules,File Content Rules,The information system takes organization-defined corrective action when organization-defined unacceptable mobile code is identified.
CCI Catalog v2022-04-05,CCI-001668,broader,http://d3fend.mitre.org/ontologies/d3fend.owl#FileAnalysis,File Analysis,"The organization employs malicious code protection mechanisms at workstations, servers, or mobile computing devices on the network to detect and eradicate malicious code transported by electronic mail, electronic mail attachments, web accesses, removable media, or other common means or inserted through the exploitation of information system vulnerabilities."
CCI Catalog v2022-04-05,CCI-001668,broader,http://d3fend.mitre.org/ontologies/d3fend.owl#NetworkTrafficAnalysis,Network Traffic Analysis,"The organization employs malicious code protection mechanisms at workstations, servers, or mobile computing devices on the network to detect and eradicate malicious code transported by electronic mail, electronic mail attachments, web accesses, removable media, or other common means or inserted through the exploitation of information system vulnerabilities."
CCI Catalog v2022-04-05,CCI-001668,broader,http://d3fend.mitre.org/ontologies/d3fend.owl#PlatformMonitoring,Platform Monitoring,"The organization employs malicious code protection mechanisms at workstations, servers, or mobile computing devices on the network to detect and eradicate malicious code transported by electronic mail, electronic mail attachments, web accesses, removable media, or other common means or inserted through the exploitation of information system vulnerabilities."
CCI Catalog v2022-04-05,CCI-001668,broader,http://d3fend.mitre.org/ontologies/d3fend.owl#ProcessAnalysis,Process Analysis,"The organization employs malicious code protection mechanisms at workstations, servers, or mobile computing devices on the network to detect and eradicate malicious code transported by electronic mail, electronic mail attachments, web accesses, removable media, or other common means or inserted through the exploitation of information system vulnerabilities."
CCI Catalog v2022-04-05,CCI-001677,broader,http://d3fend.mitre.org/ontologies/d3fend.owl#MessageAuthentication,Message Authentication,"The organization employs spam protection mechanisms at workstations, servers, or mobile computing devices on the network to detect and take action on unsolicited messages transported by electronic mail, electronic mail attachments, web accesses, removable media, or other common means."
CCI Catalog v2022-04-05,CCI-001677,broader,http://d3fend.mitre.org/ontologies/d3fend.owl#SenderMTAReputationAnalysis,Sender MTA Reputation Analysis,"The organization employs spam protection mechanisms at workstations, servers, or mobile computing devices on the network to detect and take action on unsolicited messages transported by electronic mail, electronic mail attachments, web accesses, removable media, or other common means."
CCI Catalog v2022-04-05,CCI-001677,broader,http://d3fend.mitre.org/ontologies/d3fend.owl#SenderReputationAnalysis,Sender Reputation Analysis,"The organization employs spam protection mechanisms at workstations, servers, or mobile computing devices on the network to detect and take action on unsolicited messages transported by electronic mail, electronic mail attachments, web accesses, removable media, or other common means."
CCI Catalog v2022-04-05,CCI-001677,broader,http://d3fend.mitre.org/ontologies/d3fend.owl#TransferAgentAuthentication,Transfer Agent Authentication,"The organization employs spam protection mechanisms at workstations, servers, or mobile computing devices on the network to detect and take action on unsolicited messages transported by electronic mail, electronic mail attachments, web accesses, removable media, or other common means."
